--env SUMSTAT	--env N	--env OUT
/mnt/data/ss/UKB.Baso.BOLT.txt	350726	/mnt/data/result/UKB.Baso.BOLT
/mnt/data/ss/UKB.Baso2.BOLT.txt	248275	/mnt/data/result/UKB.Baso2.BOLT
/mnt/data/ss/UKB.Blood_Clot_Lung.SAIGE.txt	361144	/mnt/data/result/UKB.Blood_Clot_Lung.SAIGE
/mnt/data/ss/UKB.BrC.SAIGE.txt	343346	/mnt/data/result/UKB.BrC.SAIGE
/mnt/data/ss/UKB.CAD.SAIGE.txt	360710	/mnt/data/result/UKB.CAD.SAIGE
/mnt/data/ss/UKB.COPD.SAIGE.txt	339262	/mnt/data/result/UKB.COPD.SAIGE
/mnt/data/ss/UKB.COPD_Combined.SAIGE.txt	339262	/mnt/data/result/UKB.COPD_Combined.SAIGE
/mnt/data/ss/UKB.CRC.SAIGE.txt	342123	/mnt/data/result/UKB.CRC.SAIGE
/mnt/data/ss/UKB.CRP.BOLT.txt	344503	/mnt/data/result/UKB.CRP.BOLT
/mnt/data/ss/UKB.Ca.BOLT.txt	316888	/mnt/data/result/UKB.Ca.BOLT
/mnt/data/ss/UKB.Cholelithiasis.SAIGE.txt	358546	/mnt/data/result/UKB.Cholelithiasis.SAIGE
/mnt/data/ss/UKB.CysC.BOLT.txt	345219	/mnt/data/result/UKB.CysC.BOLT
/mnt/data/ss/UKB.DBP.BOLT.txt	360865	/mnt/data/result/UKB.DBP.BOLT
/mnt/data/ss/UKB.DBil.BOLT.txt	294785	/mnt/data/result/UKB.DBil.BOLT
/mnt/data/ss/UKB.DVT.SAIGE.txt	361144	/mnt/data/result/UKB.DVT.SAIGE
/mnt/data/ss/UKB.Depression_GP.SAIGE.txt	361144	/mnt/data/result/UKB.Depression_GP.SAIGE
/mnt/data/ss/UKB.Eosino.BOLT.txt	350726	/mnt/data/result/UKB.Eosino.BOLT
/mnt/data/ss/UKB.FEV1.BOLT.txt	272338	/mnt/data/result/UKB.FEV1.BOLT
/mnt/data/ss/UKB.FEV1FVC.BOLT.txt	272338	/mnt/data/result/UKB.FEV1FVC.BOLT
/mnt/data/ss/UKB.FVC.BOLT.txt	272338	/mnt/data/result/UKB.FVC.BOLT
/mnt/data/ss/UKB.Fibroblastic_Disorders.SAIGE.txt	361144	/mnt/data/result/UKB.Fibroblastic_Disorders.SAIGE
/mnt/data/ss/UKB.GGT.BOLT.txt	345062	/mnt/data/result/UKB.GGT.BOLT
/mnt/data/ss/UKB.Glaucoma.SAIGE.txt	354399	/mnt/data/result/UKB.Glaucoma.SAIGE
/mnt/data/ss/UKB.Glaucoma_Combined.SAIGE.txt	354399	/mnt/data/result/UKB.Glaucoma_Combined.SAIGE
/mnt/data/ss/UKB.Glaucoma_Self.SAIGE.txt	354399	/mnt/data/result/UKB.Glaucoma_Self.SAIGE
/mnt/data/ss/UKB.Glucose.BOLT.txt	316666	/mnt/data/result/UKB.Glucose.BOLT
/mnt/data/ss/UKB.HDLC.BOLT.txt	316875	/mnt/data/result/UKB.HDLC.BOLT
/mnt/data/ss/UKB.Hb.BOLT.txt	351327	/mnt/data/result/UKB.Hb.BOLT
/mnt/data/ss/UKB.HbA1c.BOLT.txt	345271	/mnt/data/result/UKB.HbA1c.BOLT
/mnt/data/ss/UKB.Height.BOLT.txt	360415	/mnt/data/result/UKB.Height.BOLT
/mnt/data/ss/UKB.Ht.BOLT.txt	351328	/mnt/data/result/UKB.Ht.BOLT
/mnt/data/ss/UKB.Hypothyroidism.SAIGE.txt	358851	/mnt/data/result/UKB.Hypothyroidism.SAIGE
/mnt/data/ss/UKB.IBD.SAIGE.txt	300205	/mnt/data/result/UKB.IBD.SAIGE
/mnt/data/ss/UKB.IBil.BOLT.txt	294542	/mnt/data/result/UKB.IBil.BOLT
/mnt/data/ss/UKB.IGF1.BOLT.txt	343465	/mnt/data/result/UKB.IGF1.BOLT
/mnt/data/ss/UKB.IS.SAIGE.txt	353937	/mnt/data/result/UKB.IS.SAIGE
/mnt/data/ss/UKB.Inguinal_Hernia.SAIGE.txt	333807	/mnt/data/result/UKB.Inguinal_Hernia.SAIGE
/mnt/data/ss/UKB.Insomnia.BOLT.txt	360740	/mnt/data/result/UKB.Insomnia.BOLT
/mnt/data/ss/UKB.LDLC.BOLT.txt	344613	/mnt/data/result/UKB.LDLC.BOLT
/mnt/data/ss/UKB.LOY.BOLT.txt	167020	/mnt/data/result/UKB.LOY.BOLT
/mnt/data/ss/UKB.LipoA.BOLT.txt	275456	/mnt/data/result/UKB.LipoA.BOLT
/mnt/data/ss/UKB.LuC.SAIGE.txt	360610	/mnt/data/result/UKB.LuC.SAIGE
/mnt/data/ss/UKB.Lym.BOLT.txt	350726	/mnt/data/result/UKB.Lym.BOLT
/mnt/data/ss/UKB.MAP.BOLT.txt	360863	/mnt/data/result/UKB.MAP.BOLT
/mnt/data/ss/UKB.MCH.BOLT.txt	351324	/mnt/data/result/UKB.MCH.BOLT
/mnt/data/ss/UKB.MCHC.BOLT.txt	351321	/mnt/data/result/UKB.MCHC.BOLT
/mnt/data/ss/UKB.MCP.BOLT.txt	361187	/mnt/data/result/UKB.MCP.BOLT
/mnt/data/ss/UKB.MCV.BOLT.txt	351327	/mnt/data/result/UKB.MCV.BOLT
/mnt/data/ss/UKB.Migraine_Self.SAIGE.txt	361144	/mnt/data/result/UKB.Migraine_Self.SAIGE
/mnt/data/ss/UKB.Mono.BOLT.txt	350726	/mnt/data/result/UKB.Mono.BOLT
/mnt/data/ss/UKB.Morning_Person.BOLT.txt	360203	/mnt/data/result/UKB.Morning_Person.BOLT
/mnt/data/ss/UKB.NAP.BOLT.txt	316549	/mnt/data/result/UKB.NAP.BOLT
/mnt/data/ss/UKB.Neutro.BOLT.txt	350726	/mnt/data/result/UKB.Neutro.BOLT
/mnt/data/ss/UKB.Oestradiol.BOLT.txt	55295	/mnt/data/result/UKB.Oestradiol.BOLT
/mnt/data/ss/UKB.Osteoporosis.SAIGE.txt	360047	/mnt/data/result/UKB.Osteoporosis.SAIGE
/mnt/data/ss/UKB.P.BOLT.txt	316407	/mnt/data/result/UKB.P.BOLT
/mnt/data/ss/UKB.PEF.BOLT.txt	331017	/mnt/data/result/UKB.PEF.BOLT
/mnt/data/ss/UKB.PP.BOLT.txt	360863	/mnt/data/result/UKB.PP.BOLT
/mnt/data/ss/UKB.Plt.BOLT.txt	351327	/mnt/data/result/UKB.Plt.BOLT
/mnt/data/ss/UKB.PrC.SAIGE.txt	349994	/mnt/data/result/UKB.PrC.SAIGE
/mnt/data/ss/UKB.RBC.BOLT.txt	351328	/mnt/data/result/UKB.RBC.BOLT
/mnt/data/ss/UKB.RF.BOLT.txt	31083	/mnt/data/result/UKB.RF.BOLT
/mnt/data/ss/UKB.SBP.BOLT.txt	360863	/mnt/data/result/UKB.SBP.BOLT
/mnt/data/ss/UKB.SHBG.BOLT.txt	313997	/mnt/data/result/UKB.SHBG.BOLT
/mnt/data/ss/UKB.Smoking_CPD.BOLT.txt	111293	/mnt/data/result/UKB.Smoking_CPD.BOLT
/mnt/data/ss/UKB.Smoking_Ever_Never.SAIGE.txt	359657	/mnt/data/result/UKB.Smoking_Ever_Never.SAIGE
/mnt/data/ss/UKB.T2D.SAIGE.txt	360058	/mnt/data/result/UKB.T2D.SAIGE
/mnt/data/ss/UKB.T2D_BMI.SAIGE.txt	358897	/mnt/data/result/UKB.T2D_BMI.SAIGE
/mnt/data/ss/UKB.TBil.BOLT.txt	343836	/mnt/data/result/UKB.TBil.BOLT
/mnt/data/ss/UKB.TC.BOLT.txt	345235	/mnt/data/result/UKB.TC.BOLT
/mnt/data/ss/UKB.TG.BOLT.txt	344952	/mnt/data/result/UKB.TG.BOLT
/mnt/data/ss/UKB.TP.BOLT.txt	316664	/mnt/data/result/UKB.TP.BOLT
/mnt/data/ss/UKB.Testosterone.BOLT.txt	313505	/mnt/data/result/UKB.Testosterone.BOLT
/mnt/data/ss/UKB.UA.BOLT.txt	344801	/mnt/data/result/UKB.UA.BOLT
/mnt/data/ss/UKB.Urea.BOLT.txt	345014	/mnt/data/result/UKB.Urea.BOLT
/mnt/data/ss/UKB.VitD.BOLT.txt	330456	/mnt/data/result/UKB.VitD.BOLT
/mnt/data/ss/UKB.WBC.BOLT.txt	351324	/mnt/data/result/UKB.WBC.BOLT
/mnt/data/ss/UKB.WHRadjBMI.BOLT.txt	360505	/mnt/data/result/UKB.WHRadjBMI.BOLT
/mnt/data/ss/UKB.eBMD.BOLT.txt	326159	/mnt/data/result/UKB.eBMD.BOLT
/mnt/data/ss/UKB.eGFR.BOLT.txt	345067	/mnt/data/result/UKB.eGFR.BOLT
/mnt/data/ss/UKB.eGFRcreacys.BOLT.txt	344825	/mnt/data/result/UKB.eGFRcreacys.BOLT
/mnt/data/ss/UKB.eGFRcys.BOLT.txt	345219	/mnt/data/result/UKB.eGFRcys.BOLT
/mnt/data/ss/UKB.sCr.BOLT.txt	345067	/mnt/data/result/UKB.sCr.BOLT
